sample_id,year,analyzer_id,p_grA_w_ratio,p_grB_w_ratio,p_grC_w_ratio,p_grD_w_ratio,p_grE_w_ratio,p_grF_w_ratio,p_grG_w_ratio,p_grA_c_ratio,p_grB_c_ratio,p_grC_c_ratio,p_grD_c_ratio,p_grE_c_ratio,p_grF_c_ratio,p_grG_c_ratio,p_grA_count,p_grB_count,p_grC_count,p_grD_count,p_grE_count,p_grF_count,p_grG_count,s_grA_w_ratio,s_grF_w_ratio,s_grH_w_ratio,s_grC_w_ratio,s_grB_w_ratio,s_grD_w_ratio,s_grA_c_ratio,s_grF_c_ratio,s_grH_c_ratio,s_grC_c_ratio,s_grB_c_ratio,s_grD_c_ratio,s_grA_count,s_grF_count,s_grH_count,s_grC_count,s_grB_count,s_grD_count,d_grA_w_ratio,d_grI_w_ratio,d_grJ_w_ratio,d_grK_w_ratio,d_grL_w_ratio,d_grM_w_ratio,d_grE_w_ratio,d_grN_w_ratio,d_grO_w_ratio,d_grP_w_ratio,d_grQ_w_ratio,d_grR_w_ratio,d_grD_w_ratio,d_grA_c_ratio,d_grI_c_ratio,d_grJ_c_ratio,d_grK_c_ratio,d_grL_c_ratio,d_grM_c_ratio,d_grE_c_ratio,d_grN_c_ratio,d_grO_c_ratio,d_grP_c_ratio,d_grQ_c_ratio,d_grR_c_ratio,d_grD_c_ratio,d_grA_count,d_grI_count,d_grJ_count,d_grK_count,d_grL_count,d_grM_count,d_grE_count,d_grN_count,d_grO_count,d_grP_count,d_grQ_count,d_grR_count,d_grD_count,all_length_mean,all_width_mean,all_thickness_mean,all_brightness_mean,all_length_sd,all_width_sd,all_thickness_sd,all_brightness_sd,grA_length_mean,grA_width_mean,grA_thickness_mean,grA_brightness_mean,grA_length_sd,grA_width_sd,grA_thickness_sd,grA_brightness_sd,measured_count,flag_crack,flag_features
3,2024,335.0,58.4,0.0,0.0,4.1,0.5,0.0,27.9,70.3,0.0,0.0,0.0,1.6,6.1,55.2,553.0,5.0,0.0,4.0,23.0,74.0,395.0,65.9,40.0,1.3,5.2,0.0,12.4,31.3,59.4,1.7,0.0,0.2,5.6,807.0,615.0,9.0,0.0,0.0,51.0,54.2,0.0,4.4,4.6,1.8,24.3,0.6,0.2,0.0,0.0,0,0.3,0.0,40.1,0.0,3.6,6.6,2.9,35.1,2.2,0.4,0.1,5.2,0,0.0,1.3,600.0,47.0,31.0,27.0,42.0,323.0,6.0,1.0,0.0,17.0,0,1.0,96.0,5.13,2.7,2.04,21.5,0.41,0.09,0.11,1.9,5.03,2.24,1.76,24.9,0.21,0.09,0.07,2.05,1022.0,有,有
4,2024,696.0,54.9,0.3,0.0,10.1,2.0,2.3,28.0,64.4,0.0,0.0,0.0,0.0,5.6,49.5,643.0,0.0,121.0,0.0,18.0,0.0,470.0,51.7,10.6,0.0,0.0,0.0,0.4,52.1,11.5,0.2,5.0,0.0,6.6,467.0,576.0,0.0,0.0,6.0,24.0,44.5,0.0,0.0,5.7,2.8,24.6,0.9,0.6,0.0,1.6,0,0.2,9.4,43.6,2.3,2.1,5.3,0.8,26.5,2.9,0.0,0.3,0.0,0,0.2,2.0,579.0,36.0,45.0,21.0,34.0,514.0,45.0,4.0,1.0,3.0,0,3.0,18.0,5.28,2.67,2.03,21.1,0.34,0.08,0.08,2.2,5.65,2.34,2.07,21.7,0.23,0.1,0.06,0.77,990.0,有,有
5,2024,525.0,63.5,0.0,0.2,1.7,1.5,0.7,29.9,65.6,0.0,0.0,9.9,1.7,2.3,32.7,566.0,1.0,22.0,228.0,0.0,3.0,425.0,78.3,54.2,0.0,2.9,0.7,9.9,58.2,24.8,0.3,0.0,0.0,5.0,629.0,603.0,21.0,65.0,0.0,34.0,71.6,1.9,6.7,2.3,0.9,20.4,0.2,0.0,0.0,1.9,0,0.5,0.0,70.5,0.0,1.4,2.3,2.2,55.3,3.3,0.1,0.0,0.1,0,0.2,9.3,771.0,33.0,2.0,10.0,57.0,400.0,0.0,2.0,0.0,108.0,0,0.0,27.0,5.37,2.69,2.05,21.4,0.4,0.08,0.08,2.3,3.69,1.98,0.9,14.4,0.17,0.05,0.08,1.41,1003.0,有,有
6,2024,558.0,68.9,0.1,4.0,3.9,0.9,4.3,6.3,68.4,0.0,5.5,2.8,1.9,6.4,57.5,522.0,4.0,0.0,18.0,25.0,45.0,490.0,66.4,34.4,0.5,0.0,0.3,3.4,41.2,59.5,3.2,0.0,0.0,10.2,550.0,384.0,7.0,79.0,0.0,123.0,88.7,0.0,0.0,4.6,1.1,29.6,1.8,0.0,0.0,0.0,0,0.0,11.2,65.1,3.2,0.0,0.0,2.6,43.4,0.0,0.0,0.0,2.4,0,0.5,0.0,460.0,0.0,46.0,15.0,5.0,339.0,18.0,5.0,0.0,21.0,0,4.0,103.0,5.41,2.77,2.06,19.4,0.48,0.09,0.1,2.2,3.68,2.41,2.2,24.9,0.21,0.08,0.08,1.33,1039.0,有,有
7,2024,251.0,53.6,0.0,0.0,0.0,0.0,1.6,46.9,57.3,0.4,0.0,4.2,0.0,1.8,37.6,225.0,0.0,6.0,58.0,5.0,60.0,284.0,62.4,30.1,0.0,0.0,0.0,0.0,48.6,34.6,1.4,7.2,0.3,14.1,374.0,578.0,0.0,39.0,2.0,0.0,78.7,0.0,8.2,4.1,1.5,38.3,0.8,0.4,0.0,0.1,0,0.2,5.5,34.1,1.7,2.7,0.0,1.5,34.6,0.0,0.4,0.3,0.0,0,0.1,10.8,643.0,31.0,40.0,0.0,4.0,245.0,7.0,7.0,0.0,47.0,0,0.0,56.0,5.27,2.74,2.05,21.0,0.25,0.1,0.07,1.7,5.79,2.89,1.82,24.9,0.28,0.08,0.06,1.6,999.0,有,有
8,2024,195.0,47.9,0.0,3.7,18.1,1.7,2.8,42.0,40.3,0.0,1.2,4.3,0.6,0.0,39.0,788.0,4.0,0.0,0.0,0.0,0.0,254.0,60.3,50.8,2.5,0.0,0.2,3.6,31.2,35.9,2.1,0.4,0.4,3.1,513.0,289.0,35.0,79.0,9.0,85.0,26.8,2.4,3.4,3.7,3.0,17.5,2.2,0.0,0.0,2.7,0,0.1,0.0,67.0,6.2,6.0,2.1,2.5,10.2,1.8,0.4,0.1,0.0,0,0.0,0.0,748.0,42.0,54.0,67.0,0.0,522.0,30.0,5.0,0.0,20.0,0,1.0,34.0,5.24,2.71,2.02,22.1,0.25,0.1,0.09,2.2,5.32,2.04,1.75,16.8,0.18,0.06,0.09,1.72,1153.0,有,有
9,2024,260.0,58.9,0.0,12.5,11.7,0.0,4.8,32.0,54.5,0.4,3.0,5.2,0.0,2.5,29.2,607.0,0.0,95.0,0.0,5.0,0.0,239.0,56.9,41.5,0.0,9.0,0.0,1.5,50.7,50.8,0.0,2.3,0.0,0.8,695.0,370.0,33.0,0.0,4.0,0.0,45.7,2.4,0.0,10.3,1.0,23.4,2.1,0.0,0.1,0.0,0,0.4,2.1,68.8,4.6,8.8,4.1,1.2,16.5,0.0,0.0,0.0,2.0,0,0.2,3.0,504.0,97.0,60.0,32.0,12.0,390.0,7.0,2.0,0.0,51.0,0,0.0,74.0,5.21,2.81,2.04,21.6,0.19,0.08,0.09,2.4,5.79,2.88,1.74,21.1,0.3,0.09,0.05,1.36,1025.0,有,無
10,2024,120.0,56.9,0.0,7.5,7.3,2.6,1.7,32.9,45.7,0.2,1.1,4.7,0.0,1.0,34.5,528.0,0.0,0.0,13.0,1.0,42.0,354.0,45.4,68.5,2.3,0.0,0.0,2.2,33.5,49.2,2.2,0.0,0.5,2.1,409.0,276.0,0.0,0.0,0.0,16.0,68.5,4.0,4.8,4.6,1.1,18.4,0.9,0.2,0.0,6.7,0,1.0,2.5,59.0,0.5,4.3,2.1,1.0,15.4,0.0,0.3,0.1,0.0,0,0.6,0.3,850.0,65.0,25.0,81.0,0.0,371.0,0.0,4.0,0.0,41.0,0,4.0,0.0,5.26,2.71,1.95,23.5,0.36,0.07,0.09,2.2,5.25,1.92,2.2,21.1,0.24,0.06,0.05,2.05,1020.0,有,有
11,2024,446.0,79.3,0.2,0.3,4.3,1.2,0.6,33.8,76.6,0.0,2.2,5.8,0.0,2.3,32.2,496.0,4.0,0.0,74.0,21.0,55.0,286.0,73.8,22.9,2.1,0.2,0.0,7.1,54.8,36.9,2.9,0.0,0.1,6.9,588.0,553.0,0.0,155.0,0.0,139.0,68.3,2.3,0.8,0.2,0.2,34.0,1.2,0.4,0.0,0.0,0,0.1,7.3,61.5,7.1,4.5,3.7,0.7,35.0,1.2,0.1,0.2,0.0,0,0.0,8.4,793.0,0.0,38.0,105.0,0.0,356.0,0.0,3.0,2.0,47.0,0,0.0,0.0,5.15,2.71,2.06,22.3,0.29,0.08,0.1,2.0,5.79,2.89,2.03,13.8,0.23,0.06,0.07,1.21,1073.0,有,有
12,2024,983.0,44.4,0.0,12.2,2.3,0.0,2.1,38.0,50.2,0.0,10.9,1.0,2.0,0.6,35.5,710.0,0.0,102.0,141.0,0.0,21.0,278.0,37.3,48.5,0.1,10.5,0.7,7.4,44.8,43.1,0.4,0.0,0.0,0.0,375.0,686.0,0.0,57.0,1.0,0.0,55.2,2.5,4.6,4.9,1.4,13.6,0.0,0.0,0.0,0.0,0,0.2,0.0,69.5,2.5,2.3,2.5,1.5,26.8,2.7,0.0,0.3,0.0,0,0.0,2.5,522.0,65.0,61.0,98.0,0.0,214.0,0.0,5.0,0.0,0.0,0,0.0,14.0,5.31,2.73,2.05,21.8,0.36,0.09,0.09,2.5,3.48,1.68,1.92,21.2,0.34,0.07,0.06,1.66,1049.0,有,有
