Unnamed: 0,箱番号,サンプル番号,連番,サンプル名,サンプル名推測,メモ日付,メモ人名（ご依頼者）,メモ1,メモ2,番号A1,番号A2,番号A3,番号A,番号B1,番号B2,番号B3,番号B4,番号B,日付,個数,計測値C(g),計測値B,計測値A(%),備考
,1,119.0,1,,,,サンプル1293,,,,,,,,,,, ,,1019.0,23.08,20.292101585924,13.6,note_A
,1,,2,,,,,,,,,,,,,,, ,,,,,,
,1,,3,,,,,,,,,,,,,,, ,,,,,,
,1,120.0,4,,,,サンプル1294,,,20230824,1.0,H0006,202301011185H1185,,,,, ,20230824,1014.8,22.23,23.3743835432781,14.5,
,1,121.0,5,,,,サンプル1295,,,20230831,1.0,H0007,202301011186H1186,,,,, ,20230831,1137.4,24.83,21.1373825849027,15.0,
,1,122.0,6,,,,サンプル1296,,,20230905,1.0,H0008,202301011187H1187,,,,, ,20230905,1003.2,23.94,22.1337570105599,14.7,
,1,,7,,,,,,,,,,,,,,, ,,,,,,
,1,123.0,8,サンプル0001,,,,サンプル1302,,20230826,1.0,H0001,202301011188H1188,,,,, ,20230826,1122.1,23.07,22.0566606156037,14.7,
,1,124.0,9,サンプル0002,,,,サンプル1303,,20230829,1.0,H0002,202301011189H1189,,,,, ,20230829,1011.9,25.75,21.5391665648533,14.1,
,1,,10,,,,,,,,,,,,,,, ,,,,,,
,1,125.0,11,サンプル0003,,,,,,20230904,1.0,H0005,202301011190H1190,,,,, ,20230904,1021.9,22.73,22.4760568469691,14.4,
,1,126.0,12,サンプル0004,,,,サンプル1304,,20230912,1.0,H0006,202301011191H1191,,,,, ,20230912,1108.8,24.13,22.4753057601902,13.2,
,1,,13,,,,,,,,,,,,,,, ,,,,,,
,1,127.0,14,サンプル0005,サンプル0669,,,サンプル1305,,20230919,1.0,H0009,202301011192H1192,,,,, ,20230919,1007.2,22.44,22.0589667241698,13.9,
,1,128.0,15,サンプル0006,,,,サンプル1306,,,,,,,,,, ,,1019.7,24.03,19.8846916760823,15.0,
,1,129.0,16,サンプル0007,,,,サンプル1307,,,,,,,,,, ,,1114.1,22.37,22.2511276356223,14.4,
,1,130.0,17,サンプル0008,,,,サンプル1308,,,,,,,,,, ,,1054.4,21.06,23.6465869400461,15.4,
,1,,18,,,,,,,,,,,,,,, ,,,,,,
,1,131.0,19,サンプル0009,,,,サンプル1309,,,,,,,,,, ,,983.3,24.27,23.9678610031359,14.1,
,1,,20,,,,,,,,,,,,,,, ,,,,,,
,1,132.0,21,サンプル0010,サンプル0670,,,サンプル1310,,,,,,,,,, ,,1003.8,24.41,21.2895160595952,12.8,
,1,,22,,,,,,,,,,,,,,, ,,,,,,
,1,133.0,23,サンプル0011,,,,サンプル1311,,,,,,,,,, ,,1039.8,21.64,22.389435680284,15.4,
,1,134.0,24,サンプル0012,,,,サンプル1312,,,,,,,,,, ,,1033.5,22.67,21.7635002340437,15.1,
,2,3.0,25,,,,サンプル1297,サンプル1313,,,,,,,,,, ,,987.2,23.31,20.9172713431433,14.9,
,2,4.0,26,サンプル0013,,,サンプル1298,,サンプル1917,,,,,,,,, ,,1049.2,22.98,21.5070588798358,14.2,
,2,5.0,27,サンプル0014,,,サンプル1299,,サンプル1918,,,,,,,,, ,,1066.1,23.05,23.5884795161692,15.2,
,2,6.0,28,サンプル0015,サンプル0671,,サンプル1300,サンプル1314,サンプル1919,,,,,,,,, ,,1080.5,23.46,22.6862602446008,15.1,
,2,,29,,,,,,,,,,,,,,, ,,,,,,
,2,7.0,30,サンプル0016,サンプル0672,,サンプル1301,サンプル1315,サンプル1920,,,,,,,,, ,,995.8,22.38,20.8125939167829,14.3,
,2,,31,,,,,,,,,,,,,,, ,,,,,,
,2,8.0,32,サンプル0017,,,,,,,,,,,,,, ,,1020.5,22.84,20.5467701727132,13.5,
,3,31.0,33,サンプル0018,,,,,,20230927,1.0,H0060,202301011193H1193,,,,, ,20230927,1070.1,23.34,23.199392128061,15.2,
,3,32.0,34,サンプル0019,,,,,,20230924,1.0,H0050,202301011194H1194,,,,, ,20230924,1071.2,23.52,22.4168088583565,12.8,
,3,33.0,35,サンプル0020,,,,,,20230928,1.0,H0064,202301011195H1195,,,,, ,20230928,1038.8,23.95,23.060108042796,14.1,
,3,34.0,36,サンプル0021,,,,,,20230906,1.0,H0017,202301011196H1196,,,,, ,20230906,1062.6,22.48,23.433434507792,14.4,
,3,35.0,37,サンプル0022,,,,,サンプル1921,20230908,1.0,H0023,202301011197H1197,,,,, ,20230908,1047.5,22.38,19.8282493817959,14.9,note_B
,3,36.0,38,サンプル0023,,,,,,20300925,1.0,H0053,2030092501H0053,,,,, ,20300925,1042.5,22.79,22.2572400519608,15.6,
,3,,39,,,,,,,,,,,,,,, ,,,,,,
,3,37.0,40,サンプル0024,,,,,,20230926,1.0,H0058,202301011198H1198,,,,, ,20230926,1003.1,22.96,21.9604704934503,14.1,
,3,42.0,41,サンプル0025,,,,,,20230928,1.0,H0063,202301011199H1199,,,,, ,20230928,1021.8,22.82,21.3577554511367,14.8,
,3,43.0,42,サンプル0026,,,,,,20230925,1.0,H0054,202301011200H1200,,,,, ,20230925,1018.4,25.08,22.803457540304,13.4,
,3,,43,,,,,,,,,,,,,,, ,,,,,,
,3,44.0,44,サンプル0027,,,,,,20230927,1.0,H0061,202301011201H1201,,,,, ,20230927,1042.5,24.68,22.7595058397059,14.2,
,3,45.0,45,サンプル0028,,,,,サンプル1922,20230927,1.0,H0062,202301011202H1202,,,,, ,20230927,1057.5,23.3,21.3770914573893,13.9,note_C
